Country,Region,Internet Penetration Index,Mobile Connectivity Index,Trade to GDP Ratio Index,Logistics Performance Index,Modern Renewables Share Index,CO2 Intensity Index,Business Ready Index,Political Stability Index,Financial Depth Index,Financial Reserves Index
Finland,OECD,0.917,0.974,0.194,0.958,0.566,0.005,0.901,0.814,0.397,0.475
France,OECD,0.842,0.944,0.154,0.833,0.197,0.007,0.85,0.69,0.466,0.75
Gabon,Africa,0.643,0.515,0.195,0.208,0.768,0.005,0.374,0.59,N/A,N/A
Georgia,Other,0.738,0.733,0.259,0.333,0.293,0.003,0.954,0.522,0.298,0.335
Germany,OECD,0.901,0.959,0.19,0.917,0.217,0.005,0.894,0.76,N/A,0.779
Ghana,Africa,0.552,0.537,0.159,0.25,0.136,0.005,0.599,0.615,N/A,N/A
Greece,OECD,0.786,0.855,0.209,0.75,0.235,0.004,0.725,0.646,0.209,0.458
Grenada,LAC,0.678,N/A,N/A,0.25,0.012,0.008,0.5,0.846,0.234,0.1
Guatemala,LAC,0.469,0.584,0.102,0.292,0.079,0.006,0.638,0.54,0.159,0.505
Guinea,Africa,0.182,0.317,0.238,0.25,0.036,0.008,0.44,0.427,N/A,N/A
Guinea-Bissau,Africa,0.182,0.26,0.098,0.292,0.1,0.009,0.347,0.517,0.048,N/A
Guyana,LAC,0.677,0.605,N/A,0.208,0.106,0.007,0.531,0.597,0.064,0.187
Haiti,LAC,0.344,0.402,0.073,0.083,0.052,0.005,0.31,0.332,0.018,0.286
Honduras,LAC,0.463,0.506,0.242,0.417,0.166,0.003,0.543,0.495,0.339,0.394
Hungary,OECD,0.859,0.888,0.41,0.542,0.173,0.005,0.799,0.786,0.14,0.569
Iceland,OECD,0.998,0.933,0.191,0.708,1,0.005,0.883,0.908,0.391,0.371
India,Other,0.384,0.673,0.092,0.625,0.205,0.002,0.763,0.457,N/A,0.832
Indonesia,ASEAN,0.567,0.74,0.081,0.458,0.138,0.003,0.743,0.504,0.158,0.69
Iraq,Other,0.619,0.523,0.146,0.208,0.013,0.002,0.37,0.069,0.06,0.647
Ireland,OECD,0.933,0.964,0.609,0.708,0.158,0.01,0.892,0.816,0.109,0.44
Israel,OECD,0.885,0.883,0.125,0.708,0.061,0.004,0.849,0.349,N/A,0.722
Italy,OECD,0.753,0.906,0.141,0.75,0.219,0.005,0.792,0.727,0.262,0.753
Jamaica,LAC,0.775,0.54,0.215,0.25,0.086,0.002,0.744,0.683,0.216,N/A
Japan,OECD,0.867,0.927,0.08,0.833,0.099,0.003,0.868,0.841,0.853,0.897
Jordan,Other,0.823,0.659,0.207,N/A,0.108,0.002,0.734,0.557,0.347,0.494
Kazakhstan,Other,0.88,0.771,0.141,0.333,0.022,0.002,0.892,0.545,0.119,0.568
Kenya,Africa,0.231,0.483,0.058,N/A,0.048,0.008,0.796,0.393,N/A,0.416
"Korea, South",OECD,N/A,0.914,0.193,0.792,0.042,0.002,0.958,0.751,N/A,0.789
Kuwait,Other,0.997,0.855,0.206,0.542,0.001,0.001,0.71,0.681,N/A,0.578
Latvia,Other,0.892,0.897,0.338,0.667,0.519,0.006,0.903,0.739,0.128,0.349
Lesotho,Africa,0.407,0.443,0.35,N/A,0.069,0.004,0.59,0.554,0.111,0.186
Libya,Africa,0.875,0.62,0.298,0,0,0.001,0.19,0.1,0.059,0.639
Lithuania,Other,0.845,0.913,0.381,0.625,0.397,0.005,0.922,0.79,0.156,0.386
Luxembourg,OECD,0.984,0.938,1,0.708,0.227,0.007,0.743,0.869,0.369,0.288
Madagascar,Africa,0.078,0.294,0.133,0.167,0.375,0.007,0.415,0.489,0.072,0.288
Malaysia,ASEAN,0.927,0.816,0.322,0.708,0.07,0.002,0.921,0.643,0.503,0.661
Maldives,Other,0.8,0.585,0.351,N/A,0.005,0.002,0.499,0.731,0.156,0.146
Mali,Africa,0.26,0.289,0.156,0.292,0.089,0.005,0.493,0.064,0.098,N/A
Malta,Other,0.879,0.845,0.603,0.583,0.101,0.011,0.69,0.82,0.275,0.221
Mauritania,Africa,0.253,0.325,0.221,0.167,0.015,0.004,0.466,0.486,N/A,N/A
Mauritius,Africa,0.69,0.707,0.245,0.25,0.106,0.004,0.921,0.8,0.302,0.4
Mexico,LAC,0.734,0.783,0.188,0.417,0.138,0.003,0.784,0.456,0.15,0.73
Moldova,Other,0.671,0.761,0.221,0.25,N/A,0.002,0.814,0.508,0.127,0.356
Mongolia,Other,0.699,0.673,0.313,0.25,0.024,0.001,0.716,0.757,N/A,0.356
Morocco,Africa,0.866,0.62,0.196,N/A,0.094,0.003,0.799,0.53,N/A,0.547
Mozambique,Africa,0.096,0.347,0.272,N/A,0.185,0.003,0.524,0.328,0.077,0.32
Namibia,Africa,0.554,0.495,0.216,0.417,0.254,0.004,0.62,0.734,N/A,0.307
Netherlands,OECD,0.928,0.962,0.414,0.917,0.118,0.006,0.84,0.789,0.353,0.623
New Zealand,OECD,0.944,0.947,0.11,0.708,0.344,0.004,1,0.926,N/A,0.495
Nicaragua,LAC,0.426,0.53,0.246,0.25,0.161,0.005,0.515,0.527,0.129,0.366
Niger,Africa,0.13,0.219,0.067,N/A,0.022,0.009,0.551,0.257,0.045,N/A
Nigeria,Africa,0.295,0.507,N/A,0.292,0.068,0.005,0.552,0.207,N/A,0.551
Norway,OECD,0.979,0.973,0.172,0.75,0.742,0.006,0.937,0.843,0.558,0.625
Oman,Other,0.939,0.743,0.222,0.583,0,0.001,0.749,0.725,N/A,0.476
Pakistan,Other,0.155,0.416,0.052,N/A,0.096,0.004,0.614,0.204,0.049,0.477
Panama,LAC,0.712,0.737,0.195,0.5,0.226,0.006,0.698,0.673,N/A,0.378
Paraguay,LAC,0.728,0.729,0.167,0.333,0.517,0.007,0.585,0.621,0.249,N/A
Peru,LAC,0.678,0.737,0.111,0.458,0.226,0.005,0.729,0.517,N/A,0.623
Philippines,ASEAN,0.617,0.681,0.151,0.583,0.126,0.004,0.641,0.446,0.216,0.652
Poland,OECD,0.833,0.854,0.265,0.708,0.193,0.003,0.844,0.729,0.146,0.726
Portugal,OECD,0.798,0.907,0.212,0.625,0.361,0.007,0.846,0.809,0.339,0.56
Qatar,Other,0.998,0.907,0.223,0.667,0,0.001,0.729,0.809,0.52,0.584
Romania,Other,0.807,0.821,0.202,0.542,0.29,0.006,0.798,0.721,0.098,0.615
Russia,Other,0.868,0.846,0.098,0.292,0.042,0.001,0.871,0.416,N/A,N/A
Rwanda,Africa,0.211,0.428,0.132,0.375,0.104,0.014,0.846,0.633,0.098,0.273
Samoa,Other,0.505,0.618,0.176,N/A,0.063,0.001,0.63,0.865,0.333,0.118
Saudi Arabia,Other,0.987,0.831,0.131,0.625,0,0.002,0.772,0.512,N/A,0.799
Senegal,Africa,0.512,0.453,0.159,N/A,0.06,0.003,0.588,0.579,0.129,N/A
Serbia,Other,0.797,0.772,0.277,0.375,0.289,N/A,0.834,0.588,0.143,0.527
Seychelles,Africa,0.835,0.707,0.443,N/A,0.01,0.001,0.624,0.781,N/A,0.16
Sierra Leone,Africa,0.117,0.342,0.088,N/A,0.309,0.013,0.412,0.573,0.016,N/A
Singapore,ASEAN,0.932,1,0.84,1,0.011,0.007,0.991,0.938,N/A,0.78
Slovakia,OECD,0.867,0.892,0.464,0.583,0.215,0.003,0.832,0.742,0.257,0.453
Slovenia,OECD,0.867,0.9,0.409,0.583,0.263,0.004,0.846,0.782,0.154,0.29
Solomon Islands,Other,0.321,0.365,0.167,0.375,0.004,0.003,0.528,0.724,0.131,N/A
Somalia,Africa,0.149,0.29,0.193,0.042,0.427,0.016,0,0.044,0,N/A
South Africa,Africa,0.715,0.71,0.13,0.75,0.047,0.001,0.704,0.482,N/A,0.604
Spain,OECD,0.932,0.919,0.158,0.833,0.219,0.006,0.867,0.7,0.322,0.653
Sri Lanka,Other,0.378,0.552,0.091,0.375,0.332,0.008,0.626,0.514,N/A,0.366
Sudan,Africa,0.202,0.227,0,0.208,0.274,0.003,0.371,0.153,N/A,N/A
Suriname,LAC,0.708,0.568,N/A,N/A,0.142,0.002,0.412,0.703,0.069,0.235
Sweden,OECD,0.946,0.955,0.23,0.875,0.677,0.01,0.928,0.821,0.538,0.599
Switzerland,OECD,0.951,0.993,0.323,0.917,0.311,0.012,0.847,0.869,N/A,0.867
Tajikistan,Other,0.426,0.322,0.141,0.25,0.48,0.003,0.618,0.479,N/A,N/A
Thailand,ASEAN,0.801,0.788,0.287,0.667,0.223,0.003,0.9,0.511,0.641,0.732
Togo,Africa,0.249,0.375,0.133,0.25,0.141,0.006,0.633,0.426,0.118,N/A
Tonga,Other,0.546,0.598,0.185,N/A,0.016,N/A,0.62,0.859,0.18,0.088
Tunisia,Africa,0.669,0.635,0.241,N/A,0.02,0.003,0.729,0.469,0.252,0.409
Ukraine,Other,0.762,0.711,0.198,0.333,0.098,0.002,0.751,0.295,N/A,0.563
United Arab Emirates,Other,1,0.966,0.471,0.875,0.01,0.002,0.912,0.761,N/A,0.733
United Kingdom,OECD,0.95,0.961,0.143,0.75,N/A,0.006,0.951,0.728,0.494,0.702
Uruguay,LAC,0.863,0.851,0.116,0.458,0.657,0.006,0.621,0.848,0.135,0.471
Uzbekistan,Other,0.765,0.6,0.139,0.292,0.016,0.001,0.747,0.555,0.144,0.557
Vanuatu,Other,0.386,0.51,0.171,N/A,0.027,0.002,0.615,0.821,0.235,0.137
Vietnam,ASEAN,0.72,0.722,0.435,0.583,0.195,0.002,0.746,0.6,N/A,0.627
Zimbabwe,Africa,0.285,0.374,0.119,0.25,0.118,0.003,0.516,0.398,N/A,0.113
